"Información del sitio:","EZEIZA"
Id. de licencia:,
Uso de licencias del sitio:,Canales de la cámara: 608/674,Orígenes de TPV: 1/1,Canales LPR6: 3/3

Avigilon Cloud Services:,Error desconocido
"22/12/2025 14:35:02"

Información general:
Nombre de servidor,Versión del servidor:,IP del servidor:,Nombre del modelo:,Nombre del sistema:,Etiqueta de mantenimiento:,Tipo de GPU:,Sistema operativo:,Carga de CPU:,Uso de la memoria:,Memoria disponible del sistema:,Tiempo de actividad:,Servicio LPR:,Versión de LPR:,Servicio de análisis:,Versión de servicio de análisis:,Carga máxima (últimos 3 días):
"EZE01","7.14.20.14","10.116.85.20","PowerEdge R740xd","EZE1","357VMR2","Windows Server 2012 R2","Unknown","10%","5882,2 MB","22477,4 MB","22 días, 0 horas, 53 minutos, 9 segundos","No disponible","Unknown","No disponible","Unknown","No hay datos disponibles"
"EZE01","809-NTP-EGRESO ISLA B","Avigilon (ONVIF)","3.0C-H4A-DO1-IR-B","NTP-EGRESO ISLA B"," ID lógico:809","Device,1.1.0018852581cc,3.2977e5b5-4128-4fd5-9975-904b41241b2a,4.ba45df13-bd3e-4662-9845-89bb9993050e","1.0018852581cc.cam00","10.116.82.104","00:18:85:25:81:CC","4.10.4.72(32621)","4.10.4.72","101902128060","True","True","None","Online","2288","2048x1536","8","10","Desconocido","Grabado: 40 días","Deshabilitado","No compatible","Detección de mascarilla facial No compatible"
"EZE01","776-NTP-ISLA-10 B","Avigilon (ONVIF)","5.0L-H4A-BO1-IR-B","NTP-PATIO"," ID lógico:776","Device,1.1.00188527ee85,3.2977e5b5-4128-4fd5-9975-904b41241b2a,4.ba45df13-bd3e-4662-9845-89bb9993050e","1.00188527ee85.cam00","10.116.82.190","00:18:85:27:EE:85","4.10.4.72(32621)","4.10.4.72","101906136965","True","True","None","Online","288","2592x1944","13","7","Desconocido","Grabado: 40 días","Deshabilitado","No compatible","Detección de mascarilla facial No compatible"
"EZE01","TC-PIR NACIONAL 04","Avigilon (ONVIF)","12.0W-H5A-FE-DO1-IR","EGRESO PIR","","Device,1.1.0018854ad303,3.2977e5b5-4128-4fd5-9975-904b41241b2a,4.ba45df13-bd3e-4662-9845-89bb9993050e","1.0018854ad303.cam00","10.116.80.22","00:18:85:4A:D3:03","4.44.0.16(7dc52e0f)","4.44.0.16","102305263683","True","True","None","Online","6032","3008x3008","9","10","OpenSSL","Grabado: 40 días","Deshabilitado","No compatible","Detección de mascarilla facial No compatible"
"EZE01","315-PK (E2) - TORRE-CENTRO","Avigilon (ONVIF)","2.0C-H4A-BO1-IR-B","TNTP - MULTINIVEL / NIVEL-TERRAZA"," ID lógico:315","Device,1.1.001885287af8,3.2977e5b5-4128-4fd5-9975-904b41241b2a,4.ba45df13-bd3e-4662-9845-89bb9993050e","1.001885287af8.cam00","10.116.80.24","00:18:85:28:7A:F8","4.10.4.72(32621)","4.10.4.72","101907112920","True","True","None","Online","1672","1920x1080","3","8","Desconocido","Grabado: 40 días","Deshabilitado","No compatible","Detección de mascarilla facial No compatible"
"EZE01","23-ENT7 PK E1 - 02","Avigilon (ONVIF)","2.0C-H5A-BO1-IR","INGRESO CARRIL 06/07","","Device,1.1.0018852c4e57,3.2977e5b5-4128-4fd5-9975-904b41241b2a,4.ba45df13-bd3e-4662-9845-89bb9993050e","","10.116.83.158","00:18:85:2C:4E:57","4.38.0.32(a3802d6b)","4.38.0.32","101912203639","False","True","NotPresent, Network, LongFailed","Failed","","","","","Desconocido","","No compatible","No compatible","Detección de mascarilla facial No compatible"
"EZE01","NTP-HALL VIP/REC 2º PS","Avigilon (ONVIF)","2.0C-H4M-D1-IR","NTP-NIVEL 8.80 ASC-ESC","","Device,1.1.0018852c71ce,3.2977e5b5-4128-4fd5-9975-904b41241b2a,4.ba45df13-bd3e-4662-9845-89bb9993050e","1.0018852c71ce.cam00","10.116.82.219","00:18:85:2C:71:CE","3.28.0.82(27700)","4.14.0.116","101912262718","True","False","None","FirmwareUpgradeRequied","344","1920x1080","9","15","Desconocido","Grabado: 40 días","No compatible","No compatible","Detección de mascarilla facial No compatible"
"EZE01","NTP-PIR VIPCLUB","Avigilon (ONVIF)","12.0W-H5A-FE-DC1","NTP-NIVEL 0","","Device,1.1.001885380f84,3.2977e5b5-4128-4fd5-9975-904b41241b2a,4.ba45df13-bd3e-4662-9845-89bb9993050e","1.001885380f84.cam00","10.116.82.221","00:18:85:38:0F:84","4.44.0.16(7dc52e0f)","4.44.0.16","102107243988","True","True","None","Online","16440","3008x3008","6","15","OpenSSL","Grabado: 40 días","Activado","No compatible","Detección de mascarilla facial No compatible"
"EZE01","109-PK (E1)-T.B-09","Avigilon (ONVIF)","12.0W-H5A-FE-DO1-IR","109-PK (E1)-T.B-09 POSTE B-34"," ID lógico:109","Device,1.1.0018854ad2e5,3.2977e5b5-4128-4fd5-9975-904b41241b2a,4.ba45df13-bd3e-4662-9845-89bb9993050e","1.0018854ad2e5.cam00","10.116.83.134","00:18:85:4A:D2:E5","4.44.0.16(7dc52e0f)","4.44.0.16","102305263653","True","True","None","Online","4456","3008x3008","9","8","OpenSSL","Grabado: 40 días","Deshabilitado","No compatible","Detección de mascarilla facial No compatible"
"EZE01","TC-PREEMB-NACIONAL 06","Avigilon (ONVIF)","12.0W-H5A-FE-DO1-IR","PUERTA 28","","Device,1.1.0018854ad352,3.2977e5b5-4128-4fd5-9975-904b41241b2a,4.ba45df13-bd3e-4662-9845-89bb9993050e","1.0018854ad352.cam00","10.116.80.39","00:18:85:4A:D3:52","4.44.0.16(7dc52e0f)","4.44.0.16","102305263762","True","True","None","Online","6856","3008x3008","10","10","OpenSSL","Grabado: 40 días","Deshabilitado","No compatible","Detección de mascarilla facial No compatible"
"EZE01","TC-PREEMB-NACIONAL 04","Avigilon (ONVIF)","12.0W-H5A-FE-DO1-IR","PUERTA 27","","Device,1.1.00188555c5f1,3.2977e5b5-4128-4fd5-9975-904b41241b2a,4.ba45df13-bd3e-4662-9845-89bb9993050e","1.00188555c5f1.cam00","10.116.80.47","00:18:85:55:C5:F1","4.84.0.20(469d9a64)","4.44.0.16","112406291233","True","True","None","Online","10152","3008x3008","10","10","OpenSSL","Grabado: 40 días","Deshabilitado","No compatible","Detección de mascarilla facial No compatible"
